CS(=O)(=O)Cl.OCCCBr	CS(=O)(=O)OCCCBr
NNC(=O)C1CC1.S=C=S	Sc1nnc(C2CC2)o1
Brc1cccnc1.NCCO	OCCNc1cccnc1
CC(=O)O.Oc1ccccc1	CC(=O)c1ccc(O)cc1
COCCBr.Nc1ccccc1S	COCCSc1ccccc1N
CCCCCC1(C)CO1.S	CCCCCC(C)(O)CS
C=CCCCC.O=CC(F)(F)F	CCCCC#CC(O)C(F)(F)F
OCC1COc2ccccc2O1	C(OCC1CO1)C1CO1
C=CC(=O)O.COC(=O)CBr	C=CC(=O)OCC(=O)OC
ClCc1ccncc1.NCCS	NCCSCc1ccncc1
N#CCCCCCc1ccccc1	NCCCCCCc1ccccc1
ClCC1CO1.NCc1ccccc1	OC(CCl)CNCc1ccccc1
ClCC1CO1.NCc1ccccc1	OC(CCl)CNCc1ccccc1
O=C(O)C=Cc1ccccc1	O=C(O)C#Cc1ccccc1
Br.C=O.CCCCCCCCO	CCCCCCCCOCBr
CCOC(=O)C1CCCCC1C	CC1CCCCC1C(=O)O
CCO.ClP(Cl)c1ccccc1.O	CCO[PH](=O)c1ccccc1
CO.N#Cc1nc(CCl)cnc1N	COCc1cnc(N)c(C#N)n1
CCCCCN.N#C[N-]C#N	CCCCCNC(=N)NC#N
ClCBr.Cn1ccnc1S	Cn1ccnc1SCCl
ON=Cc1cc(F)ccc1O	N#Cc1cc(F)ccc1O
ClCCN1CCCC1.NN	NNCCN1CCCC1
CCC=NO.[O-]c1ccccc1	CC(C=NO)Oc1ccccc1
CCOC(=O)CCSc1nnnn1C	Cn1nnnc1SCCC(=O)O
BrBr.CC(C(=O)O)C(=O)O	CC(Br)(C(=O)O)C(=O)O
C1CNCCN1.Cc1cccnc1Cl	Cc1cccnc1N1CCNCC1
Br.C=CCC(C)(C)C(C)=O	CC(=O)C(C)(C)CC(C)Br
CC(C)C=O.O=C1CCCCC1	CC(C)C=C1CCCCC1=O
CN=C=S.NNc1ccccc1	CNC(=S)NNc1ccccc1
O=C(O)CS.OCCc1ccccc1	O=C(CS)OCCc1ccccc1
Brc1ccnc2ccncc12.CNC	CN(C)c1ccnc2ccncc12
CCCCCCN.N#CCO	CCCCCCNCC#N
O=C(Cl)Cl.SC1=NCCS1	O=C(Cl)N1CCSC1=S
CC1(C)COC(=O)C1=O	CC1(C)COC(=O)C1O
COc1cc(Cl)nc(N)n1.I	COc1cc(I)nc(N)n1
ON=Cc1cc(F)ccc1O	N#Cc1cc(F)ccc1O
C=CC(=O)OC.Sc1ccccc1	COC(=O)CCSc1ccccc1
O=C(O)CC(F)(F)C(=O)O	O=C1CC(F)(F)C(=O)O1
Cc1cccc(C(C)(C)O)c1N	C=C(C)c1cccc(C)c1N
C#CCBr.CCOC(OCC)OCC	CCOC(C#CCBr)OCC
CN1C2CCC(C#N)C1CC2	CN1C2CCC(CN)C1CC2
BrBr.CC(=O)C(C)(C)CF	CC(C)(CF)C(=O)CBr
CC=O.NCC(=O)NCC(N)=O	CC1NCC(=O)N1CC(N)=O
C#CCO.CC(C)(C)CN=C=O	C#CCOC(=O)NCC(C)(C)C
CC(=O)Cl.c1ccccc1	CC(=O)c1ccccc1
CC1(C)Nc2ccccc2S1	CC(C)Nc1ccccc1S
COC(=O)CCCCC=O	O=CCCCCC(=O)O
COC(=O)CCCCC=O	O=CCCCCC(=O)O
COC(=O)CCCCC=O	O=CCCCCC(=O)O
COCCCC(F)(F)C=O.ONCl	COCCCC(F)(F)C=NO
COCCCC(F)(F)C=NO	COCCCC(F)(F)C#N
C#CC(=C)C.C=CC=O	C=CC(O)C#CC(=C)C
Clc1ccc(C2NCCS2)cn1	SCCNCc1ccc(Cl)nc1
NCCN.O=Cc1cncnc1	NCCNCc1cncnc1
BrBr.Oc1c(F)cccc1F	Oc1c(F)cc(Br)cc1F
N#CCCN(CC#N)CCCO	OCCCN1CCCNCC1
N#CCCN(CC#N)CCCO	OCCCN1CCCNCC1
Clc1ccncc1.Nn1cccc1	c1ccn(Nc2ccncc2)c1
ClCBr.N#CC1CCCC1	N#CC1(CCl)CCCC1
O=C(O)C=Cc1ccccc1	OCCCc1ccccc1
CSC(=N)N.NCCCCCCN	N=C(N)NCCCCCCN
O=C(O)C(Br)c1ccccc1	OCC(Br)c1ccccc1
CCC(O)c1ccccc1.Cl	CCC(Cl)c1ccccc1
O=C(NCCO)c1cnccn1	O=C(NCCO)C1CNCCN1
CCCCCBr.COCCCN	CCCCCNCCCOC
C=O.COc1cccc(OC)c1O	COc1cc(CO)cc(OC)c1O
c1ccc(-c2nnn[nH]2)cc1	c1ccc(-c2nnn[nH]2)cc1
CC(=O)C1=CCN(C)CC1	CC(=O)C1=CCNCC1
OCC#Cc1cccc2ccncc12	OCCCc1cccc2ccncc12
BrBr.Oc1c(F)cccc1F	Oc1c(F)cc(Br)cc1F
COC(=O)C1CC=C(Cl)CC1	COC(=O)C1CCC(Cl)CC1
Cn1cc(Cl)nc(Cl)c1=O.N	Cn1cc(Cl)nc(N)c1=O
CN=C(NC#N)SC.NCCN	CNC(=NC#N)NCCN
CC(C)(C)N.CC=O.[C-]#N	CC(C#N)NC(C)(C)C
BrC1CCCCC1.CC(N)=O	CC(=O)NC1CCCCC1
O=C(NCCO)c1ccc(O)cc1	Oc1ccc(C2=NCCO2)cc1
Cc1cc(C)on1.ClCC#CCCl	Cc1cc(CCC#CCCl)on1
CC1=NC(C)Cc2ccccc21	CC1Cc2ccccc2C(C)N1
CC(O)C(=O)O.NCCOCCO	CC(O)C(=O)NCCOCCO
NCCCl.Oc1cccc(Cl)c1	NCCOc1cccc(Cl)c1
C=CCNC(=S)NCC=C	C=CCN=C=NCC=C
CO.O=C(O)Cc1ccsc1	COC(=O)Cc1ccsc1
Nc1ccccc1COCC(=O)O	O=C1COCc2ccccc2N1
CN=C=O.Nc1nnn[nH]1	CNC(=O)Nc1nnn[nH]1
COC(=O)CSc1ccsc1C=O	COC(=O)c1cc2sccc2s1
C#CCCCC=O.SCCCS	C#CCCCC1SCCCS1
BrCc1ccccc1.CCNCC	CCN(CC)Cc1ccccc1
BrCc1ccccc1.C1CCNC1	c1ccc(CN2CCCC2)cc1
BrCc1ccccc1.CCCNCCC	CCCN(CCC)Cc1ccccc1
CC(=O)c1ccc(O)cc1.NO	CC(=NO)c1ccc(O)cc1
CC(C)COC(=O)Cl.CNNC	CNN(C)C(=O)OCC(C)C
COCCO.ClCC1CO1	COCCOCC(O)CCl
C#CCO.CC(C)=CCBr	C#CCOCC=C(C)C
COc1ccc2c(OC)cccc2c1	COc1cccc2c1CCC(=O)C2
C=CCCCCCCCCCC	C#CCCCCCCCCCC
C=C(C)C(=O)N=C=O.CN	C=C(C)C(=O)NC(=O)NC
NCCN.O=CC(=O)c1ccco1	c1coc(C2CNCCN2)c1
O=C(NCCO)c1ccc(O)cc1	Oc1ccc(C2=NCCO2)cc1
CCCCCCCC(=O)Cl.OCCO	CCCCCCCC(=O)OCCO
CCC(=O)O.CCCCCCCCNC	CCCCCCCCN(C)CCC
CC(C)C(=O)CC#N.CNN	CC(C)c1cc(N)n(C)n1
CO[Si](C)(OC)c1ccccc1	CO[Si](C)(OC)C1CCCCC1
OCc1cccc2cccnc12	OCc1cccc2c1NCCC2
CNCCO.Clc1ccncc1	CN(CCO)c1ccncc1
CNCCO.O=C(Cl)N1CCCC1	CN(CCO)C(=O)N1CCCC1
OCC#Cc1cccc2ccncc12	OCCCc1cccc2ccncc12
C=Cc1ccc(OC)c(OC)c1	CCc1ccc(OC)c(OC)c1
CCCNCCC.CNC(=O)NC	CCCN(CCC)C(=O)NC
CC(=O)O.Oc1ccccc1	CC(=O)c1ccc(O)cc1
C=C(C)OC(C)=O.CCCCCC	C[C@H](O)c1ccccc1
C=CCBr.O=C1CCCCN1	C=CCN1CCCCC1=O
COCC=O.OCCCO	COCC1OCCCO1
CCOC=Nc1c(C)cccc1CC	CCc1cccc2cc[nH]c12
COC(CBr)OC.Nc1cnccn1	c1cn2ccnc2cn1
Nc1ccccc1.OC(CBr)CCBr	OC1CCN(c2ccccc2)C1
CC(=O)CCl.Cn1nnnc1S	CC(=O)CSc1nnnn1C
CNC.O=C(Cl)CCCCCl	CN(C)C(=O)CCCCCl
CCCCCCCCCCCCCO	CCCCCCCCCCCCO
c1ccc2c(c1)CCCC2	c1ccc2ccccc2c1
CC1CC(=O)CC(=O)C1.N	CC1CC(=O)C=C(N)C1
C=COC(=O)Cl.OCCBr	C=COC(=O)OCCBr
CC(=O)[O-].CCC1CNC1=O	CCC1C(=O)NC1OC(C)=O
C1CCOC1.CCCCCC	C#COCc1ccccc1
CCCCCCCCCCSCCN	CCCCCCCCCCSCCN
CN(C)C=O.COCc1ccsc1	COCc1ccsc1C=O
O=S(Cl)Cl.OC[C@H]1CCCN1	O=[S@@]1OCC2CCCN21
COC(=O)C1CC=CC(OC)O1	CO[C@H]1CCC[C@H](CO)O1
CC=CCCBr.NCc1ccccc1	CC=CCCNCc1ccccc1
CCCCCCCCN.O=C=O	CCCCCCCCN=C=O
CC(=O)[O-].CCC1CNC1=O	CCC1C(=O)NC1OC(C)=O
O=C(O)CCCCc1ccccc1	OCCCCCc1ccccc1
c1ccc(C2CO2)cc1	OCCc1ccccc1
CNO.O=C(Cl)C(Br)CCBr	CN1OCCC(Br)C1=O
NO.O=Cc1cc(Cl)ccc1O	ON=Cc1cc(Cl)ccc1O
BrBr.Oc1c(F)cccc1F	Oc1c(F)cc(Br)cc1F
NCC1CCCCC1.O=C(Cl)CCl	O=C(CCl)NCC1CCCCC1
CC12CCC(CC1=O)C2(C)C	CC12C=CC(CC1)C2(C)C
NCCSc1cccc2nccn12	NCCSc1cccc2nccn12
COC(=O)CO.NCc1ccccc1	O=C(CO)NCc1ccccc1
CCCCN.N#Cc1cccnc1Cl	CCCCNc1ncccc1C#N
CC(C)OCCl.OCCCO	CC(C)OCOCCCO
CCO.NCCNCCO.S=C=S	OCCN1C=NC(=S)C1
CCc1cccc(NC#N)c1.CI	CCc1cccc(N(C)C#N)c1
CN.OCCCCCCCCCCl	CNCCCCCCCCCO
Cc1ncccc1CCl.[C-]#N	Cc1ncccc1CC#N
COC1CCOC(=O)CC1.N	O=C1CCC(CCO)N1
CCCCCNCCCCC.O=C(Cl)Cl	CCCCCN(CCCCC)C(=O)Cl
CS.O=Cc1ccccc1Cl	Cc1ccccc1C=S
CCCCCCCCN.O=C=O	CCCCCCCCN=C=O
CCCCCCCCN.O=C=O	CCCCCCCCN=C=O
CCCCCCCCN.O=C=O	CCCCCCCCN=C=O
CCBr.Cc1cc(=O)[nH][nH]1	CCN1N=C(C)CC1=O
Cn1cccc1.O=C(Cl)CCl	Cn1cccc1C(=O)CCl
CCCCC(=O)Nc1cscc1N	CCCCc1nc2cscc2[nH]1
COc1ccc(F)cc1OC	Oc1ccc(F)cc1O
C1CCNCC1.CCS(=O)CCCl	CCS(=O)CCN1CCCCC1
C1CO1.Cc1cc(C)on1	Cc1cc(CCCO)on1
CCCCC(=O)CCC(C)=O	CCCCC(=O)CCC(C)O
C#C.CCC(C)(C)C(C)=O	C#CC(C)(O)C(C)(C)CC
COCCOCCOCCCl.OCCOCCO	COCCOCCOCCOCCOCCO
CCCCCCC(=O)Cl.NCCO	CCCCCCC(=O)NCCO
CCOC(=O)CBr.OCCCl	CCOC(=O)COCCCl
ClCCCBr.Nc1ccccc1O	Nc1ccccc1OCCCCl
C=CC#N.CC(=O)C(C)C	CC(=O)C(C)(C)CCC#N
COC(=O)C1CCNCC1.O=CO	COC(=O)C1CCN(C)CC1
C=C(C)C(OCC)OCC	CCOC(OCC)=C(C)C
CO.O=C(O)c1ccccc1	COC(=O)c1ccccc1
C=CCO.COC(CBr)OC	C=CCOCC(OC)OC
CCC(=O)O.CCSC(=O)OCI	CCSC(=O)OCOC(=O)CC
N#CCCCCl.Nc1ccccc1.O	Nc1ccccc1C(=O)CCCCl
Nc1ccc2c(c1)CCC2	c1ccc2c(c1)CCC2
CCOC(=O)C1Cc2cocc2C1	O=C(O)C1Cc2cocc2C1
COCC1=CCN(C)CC1	COCC1=CCN(C)CC1
ClCCCCBr.c1ccoc1	ClCCCCc1ccco1
C=CCBr.Oc1cccc(Br)c1	C=CCOc1cccc(Br)c1
Cc1nccc(Cl)c1OCCO	Cc1nccc2c1OCCO2
COCC(C)=O.NNc1ccccn1	COc1c(C)[nH]c2ncccc12
N#C[S-].NCc1ccccc1Cl	NC(=S)NCc1ccccc1Cl
CC(C)c1nc(CCl)cs1.CN	CNCc1csc(C(C)C)n1
c1ccc(C2CO2)cc1	OCCc1ccccc1
O=C(NO)c1ccc(Cl)cc1O	Oc1noc2cc(Cl)ccc12
CC1(O)Cc2ccccc2C1	CC1=Cc2ccccc2C1
CCCCCCC(C)NC(C)=O	CCCCCCC(C)NCC
OCC=CC(F)(F)C(F)(F)F	OCCCC(F)(F)C(F)(F)F
OCCC#Cc1ccc(Cl)cc1Cl	OCCCCc1ccc(Cl)cc1Cl
C#Cc1cncc(C#N)c1	CCc1cncc(C#N)c1
c1ccc(C2CO2)cc1	CC(O)c1ccccc1
c1ccc(C2CO2)cc1	CC(O)c1ccccc1
OC1CCOc2cc(F)ccc21	Fc1ccc2c(c1)OCC=C2
OC1CCOc2cc(F)ccc21	Fc1ccc2c(c1)OCC=C2
O=Cc1ccccc1C=O	O=Cc1ccccc1C=O
CCc1ccc(Br)cn1.C[S-]	CCc1ccc(SC)cn1
C1=COCCC1.OCCCCCCCBr	BrCCCCCCCOC1CCCCO1
NCCc1cc(O)c(O)cc1O	NCCc1ccc(O)c(O)c1
CCOC(=O)Cl.Cn1ccnc1N	CCOC(=O)Nc1nccn1C
Brc1ccoc1.C#CCO	OCC#Cc1ccoc1
C#CCO.C=C(C)C(=O)O	C#CCOC(=O)C(=C)C
O=C(O)C1CC2CCN1CC2	OCC1CC2CCN1CC2
CCCI.Cc1c(O)cccc1C=O	CCCOc1cccc(C=O)c1C
BrBr.Clc1ccc2sccc2c1	Clc1ccc2scc(Br)c2c1
COC(=O)CBr.OCCCO	COC(=O)COCCCO
O=C1CCc2c(Br)cccc21	OC1CCc2c(Br)cccc21
CCNCC.O=C(O)c1ccsc1	CCN(CC)C(=O)c1ccsc1
NCCc1ccccc1.O=COCCl	COC(=O)NCCc1ccccc1
CNOC.O=C(O)C1CCCC1	CON(C)C(=O)C1CCCC1
O=C(O)c1cccc2c1CCCC2	OCc1cccc2c1CCCC2
BrCC1CO1.CC(C)=CCO	CC(C)=CCOCC1CO1
C1CNCCNC1.OCCI	OCCN1CCCNCC1
CCOC(=S)CCCCc1cncnc1	OC(=S)CCCCc1cncnc1
CSSC.Cc1cc(Cl)ccc1N	CSc1ccc(Cl)cc1C
NCc1ncn2ccsc12.O=CO	O=CNCc1ncn2ccsc12
COCCOC(=O)[C@@H](N)CS	N[C@@H](CS)C(=O)OCCO
CC[Mg]Br.COc1ccccc1C=O	CCC(O)c1ccccc1OC
CCC1CCNc2cc(OC)ccc21	CCC1CCNc2cc(O)ccc21
C[Mg]Br.N#Cc1ccccc1C=O	CC(O)c1ccccc1C#N
CC(C)(C)c1ccncc1	Cc1cccc2cccnc12
CO.O=C(O)c1ccccc1	COC(=O)c1ccccc1
O=Cc1cccnc1Br	OCc1cccnc1Br
COC(=O)CCCCC=O	O=CCCCCC(=O)O
C1CCOC1.C=C/C=C/CN	OCC1CC=CC2CNCC21
CCCCCO.ClCC1CO1.O	CCCCCOCC(O)CO
CO.O=C(O)c1cccc(O)c1	COC(=O)c1cccc(O)c1
COc1ccc2nc(C)sc2c1	Cc1nc2ccc(O)cc2s1
CCI.COc1cccc(OC)c1O	CCOc1c(OC)cccc1OC
COCCOCCl.O=C(O)CS	COCCOCSCC(=O)O
C=CC#N.Nc1cccc(I)c1	N#CCCNc1cccc(I)c1
CCC(=O)CC(=O)NC.N	CCC(N)=CC(=O)NC
CCOCC.N#CCCCCCCO	CC(=O)OCCCCCCC#N
CNOC.O=C(Cl)CCCCl	CON(C)C(=O)CCCCl
O=CC[C@H](O)[C@H](O)CO	OCC[C@H](O)[C@H](O)CO
Clc1ccc2ccc(CBr)nc2c1	BrCc1ccc2ccccc2n1
C=CCOc1cccc(C=O)c1	C=CCOc1cccc(CO)c1
O=C(O)CC(CS)C(=O)O	O=C1CC(C(=O)O)CS1
O=C(O)c1ccc(Cl)cc1Cl	O=C(O)c1ccccc1Cl
Br.COC(=O)c1sccc1N	COC(=O)c1sccc1Br
CN(C)C=O.Cc1ccc(C)s1	Cc1cc(C=O)c(C)s1
CCOC(=O)c1cc(Cl)oc1C	Cc1oc(Cl)cc1C(=O)O
O=C(O)c1cccc2occc12	O=C(O)c1cccc2c1CCO2
C=COCC.OCc1ccccc1Br	CCOC(C)OCc1ccccc1Br
N#CCO.Nc1cccnc1	NCCNc1cccnc1
CC(C)=O.Nc1ccc(F)cc1	CC(C)Nc1ccc(F)cc1
COc1ccc2c(OC)cccc2c1	COc1cccc2c1CCC(=O)C2
Br.OCCc1ccccc1F	Fc1ccccc1CCBr
CCOCC.COCCCl.OCCCCO	CCCC(O)OCCOC
CO.OCc1c[nH]c2ccccc12	COCc1c[nH]c2ccccc12
N#CC=CCCCCCC(=O)O	N#CCCCCCCCC(=O)O
COc1cccc2c1OCC=C2	COc1cccc2c1OCCC2
COc1cccc2c1OCCC2	Oc1cccc2c1OCCC2
CO.O=C(O)CCC1CCNCC1	COC(=O)CCC1CCNCC1
O=C(O)CCc1ccc(Br)cc1	O=C1CCc2ccc(Br)cc21
C#CCC(CC#C)C(=O)OC	C#CCC(CC#C)C(=O)O
O=C(Cl)c1ccccc1	O=C(Cl)C1CCCCC1
CC(=O)Nc1cscc1C(=O)O	Cc1nc2cscc2c(=O)o1
COC=O.CSCCC(N)C(N)=O	CSCCC(NC=O)C(N)=O
CC(NCCBr)c1ccccc1	CC1NCCc2ccccc21
CC(NCCBr)c1ccccc1	CC1NCCc2ccccc21
C[C@H](NCCBr)c1ccccc1	C[C@@H]1NCCc2ccccc21
C[C@H](NCCBr)c1ccccc1	C[C@@H]1NCCc2ccccc21
CC(=O)[O-].CCCCCC(C)O	CCCCCC(C)OC(C)=O
C1CO1.CCOCC.OCCBr	OCCc1ccoc1CCO
CCCI.COc1cc(O)ccc1Br	CCCOc1ccc(Br)c(OC)c1
N#Cc1c(F)cccc1F.[S-2]	NC(=S)c1c(F)cccc1F
COC(CCC(CO)CO)OC	COC1CCC(CO)CO1
CC(C)N1CCN(C=O)CC1	CC(C)N1CCNCC1
COc1cc(Cl)cc(OC)c1	Oc1cc(O)cc(Cl)c1
